object_id,machine_type,zone,blender_id,game_type,Location,machine
Table_001,Tables,Pit 3,Obj_732,Roulette,324,324
Table_002,Tables,Pit 3,Obj_743,Roulette,332,332
Table_003,Tables,Pit 3,Obj_754,Roulette,333,333
Table_004,Tables,Pit 3,Obj_765,Roulette,322,322
Table_005,Tables,Pit 3,Obj_776,Roulette,323,323
Table_006,Tables,Pit 3,Obj_787,Roulette,321,321
Table_007,Tables,Pit 3,Obj_798,Roulette,318,318
Table_008,Tables,Pit 3,Obj_809,Roulette,320,320
Table_009,Tables,Pit 3,Obj_820,Roulette,317,317
Table_010,Tables,Pit 3,Obj_831,Roulette,319,319
Table_011,Tables,Pit 3,Obj_633,Blackjack,331,331
Table_012,Tables,Pit 3,Obj_644,Blackjack,330,330
Table_013,Tables,Pit 3,Obj_655,Blackjack,329,329
Table_014,Tables,Pit 3,Obj_666,Blackjack,328,328
Table_015,Tables,Pit 3,Obj_721,Blackjack,325,325
Table_016,Tables,Pit 3 Central,Obj_677,Blackjack,349,349
Table_017,Tables,Pit 3 Central,Obj_688,Blackjack,347,347
Table_018,Tables,Pit 3 Central,Obj_699,Blackjack,348,348
Table_019,Tables,Pit 3 Central,Obj_710,Blackjack,346,346
Table_020,Tables,Pit 3 Central,Obj_930,Blackjack,337,337
Table_021,Tables,Pit 3 Central,Obj_941,Blackjack,335,335
Table_022,Tables,Pit 3 Central,Obj_952,Blackjack,336,336
Table_023,Tables,Pit 3 Central,Obj_963,Blackjack,334,334
Table_024,Tables,Pit 3 Central,Obj_974,Blackjack,403,403
Table_025,Tables,Pit 3 Central,Obj_985,Blackjack,401,401
Table_026,Tables,Pit 3 Central,Obj_996,Blackjack,404,404
Table_027,Tables,Pit 3 Central,Obj_1007,Blackjack,402,402
Table_028,Tables,Pit 3 Central,Obj_1018,Blackjack,405,405
Table_029,Tables,Pit 3 Central,Obj_1029,Blackjack,406,406
Table_030,Tables,Pit 3 Central,Obj_842,Roulette,344,344
Table_031,Tables,Pit 3 Central,Obj_853,Roulette,345,345
Table_032,Tables,Pit 3 Central,Obj_864,Roulette,340,340
Table_033,Tables,Pit 3 Central,Obj_875,Roulette,342,342
Table_034,Tables,Pit 3 Central,Obj_886,Roulette,341,341
Table_035,Tables,Pit 3 Central,Obj_897,Roulette,343,343
Table_036,Tables,Pit 3 Central,Obj_908,Roulette,338,338
Table_037,Tables,Pit 3 Central,Obj_919,Roulette,339,339
Table_038,Tables,Pit 4,Obj_1095,Roulette,416,416
Table_039,Tables,Pit 4,Obj_1106,Roulette,415,415
Table_040,Tables,Pit 4,Obj_1117,Roulette,422,422
Table_041,Tables,Pit 4,Obj_1128,Roulette,423,423
Table_042,Tables,Pit 4,Obj_1139,Roulette,424,424
Table_043,Tables,Pit 4,Obj_1150,Roulette,425,425
Table_044,Tables,Pit 4,Obj_1183,Roulette,412,412
Table_045,Tables,Pit 4,Obj_1194,Roulette,411,411
Table_046,Tables,Pit 4,Obj_1205,Roulette,408,408
Table_047,Tables,Pit 4,Obj_1216,Roulette,410,410
Table_048,Tables,Pit 4,Obj_1227,Roulette,407,407
Table_049,Tables,Pit 4,Obj_1238,Roulette,409,409
Table_050,Tables,Pit 4,Obj_1040,Blackjack,419,419
Table_051,Tables,Pit 4,Obj_1051,Blackjack,417,417
Table_052,Tables,Pit 4,Obj_1062,Blackjack,420,420
Table_053,Tables,Pit 4,Obj_1073,Blackjack,418,418
Table_054,Tables,Pit 4,Obj_1084,Blackjack,421,421
Table_055,Tables,Pit 4,Obj_1161,Blackjack,427,427
Table_056,Tables,Pit 4,Obj_1172,Blackjack,426,426
SlotMachine_001,eTGs,Pit 8,Obj_890,Slots,08F2,08F201
SlotMachine_002,eTGs,Pit 8,Obj_892,Slots,08F2,08F202
SlotMachine_003,eTGs,Pit 8,Obj_894,Slots,08F2,08F203
SlotMachine_004,eTGs,Pit 8,Obj_896,Slots,08F2,08F204
SlotMachine_005,eTGs,Pit 8,Obj_899,Slots,08F2,08F205
SlotMachine_006,eTGs,Pit 8,Obj_901,Slots,08F2,08F206
SlotMachine_007,eTGs,Pit 8,Obj_903,Slots,08F2,08F207
SlotMachine_008,eTGs,Pit 8,Obj_905,Slots,08F2,08F208
SlotMachine_009,eTGs,Pit 8,Obj_907,Slots,08F2,08F209
SlotMachine_010,eTGs,Pit 8,Obj_910,Slots,08F2,08F210
Table_057,Tables,Pit 8,Obj_336,Baccarat,821,821
Table_058,Tables,Pit 8,Obj_347,Baccarat,822,822
Table_059,Tables,Pit 8,Obj_358,Baccarat,823,823
Table_060,Tables,Pit 8,Obj_369,Baccarat,824,824
Table_061,Tables,Pit 8,Obj_380,Baccarat,825,825
Table_062,Tables,Pit 8,Obj_391,Baccarat,826,826
Table_063,Tables,Pit 8,Obj_402,Baccarat,827,827
Table_064,Tables,Pit 8,Obj_413,Baccarat,828,828
Table_065,Tables,Pit 8,Obj_424,Baccarat,829,829
Table_066,Tables,Pit 8,Obj_435,Baccarat,830,830
Table_067,Tables,Pit 8,Obj_446,Baccarat,831,831
Table_068,Tables,Pit 8,Obj_457,Baccarat,832,832
Table_069,Tables,Pit 8,Obj_501,Blackjack,803,803
Table_070,Tables,Pit 8,Obj_512,Blackjack,805,805
Table_071,Tables,Pit 8,Obj_523,Blackjack,801,801
Table_072,Tables,Pit 8,Obj_534,Blackjack,804,804
Table_073,Tables,Pit 8,Obj_545,Blackjack,806,806
Table_074,Tables,Pit 8,Obj_556,Blackjack,802,802
SlotMachine_011,eTGs,Stadium,Obj_823,Slots,04F4,04F401
SlotMachine_012,eTGs,Stadium,Obj_825,Slots,04F4,04F402
SlotMachine_013,eTGs,Stadium,Obj_827,Slots,04F4,04F403
SlotMachine_014,eTGs,Stadium,Obj_829,Slots,04F4,04F404
SlotMachine_015,eTGs,Stadium,Obj_832,Slots,04F4,04F405
SlotMachine_016,eTGs,Stadium,Obj_834,Slots,04F4,04F406
SlotMachine_017,eTGs,Stadium,Obj_826,Slots,04F4,04F407
SlotMachine_018,eTGs,Stadium,Obj_840,Slots,04F4,04F408
SlotMachine_019,eTGs,Stadium,Obj_843,Slots,04F4,04F409
SlotMachine_020,eTGs,Stadium,Obj_845,Slots,04F4,04F410
SlotMachine_021,eTGs,Stadium,Obj_847,Slots,04F4,04F411
SlotMachine_022,eTGs,Stadium,Obj_849,Slots,04F4,04F412
SlotMachine_023,eTGs,Stadium,Obj_851,Slots,04F4,04F413
SlotMachine_024,eTGs,Stadium,Obj_854,Slots,04F4,04F414
SlotMachine_025,eTGs,Stadium,Obj_856,Slots,04F4,04F415
SlotMachine_026,eTGs,Stadium,Obj_858,Slots,04F4,04F416
SlotMachine_027,eTGs,Stadium,Obj_860,Slots,04F4,04F417
SlotMachine_028,eTGs,Stadium,Obj_862,Slots,04F4,04F418
SlotMachine_029,eTGs,Stadium,Obj_865,Slots,04F4,04F419
SlotMachine_030,eTGs,Stadium,Obj_867,Slots,04F4,04F420
SlotMachine_031,eTGs,Stadium,Obj_869,Slots,04F4,04F421
SlotMachine_032,eTGs,Stadium,Obj_871,Slots,04F4,04F422
SlotMachine_033,eTGs,Stadium,Obj_873,Slots,04F4,04F423
SlotMachine_034,eTGs,Stadium,Obj_876,Slots,04F4,04F424
SlotMachine_035,eTGs,Stadium,Obj_878,Slots,04F4,04F425
SlotMachine_036,eTGs,Stadium,Obj_880,Slots,04F4,04F426
SlotMachine_037,eTGs,Stadium,Obj_882,Slots,04F4,04F427
SlotMachine_038,eTGs,Stadium,Obj_884,Slots,04F4,04F428
SlotMachine_039,eTGs,Stadium,Obj_887,Slots,04F4,04F429
SlotMachine_040,eTGs,Stadium,Obj_1017,Slots,05F1,05F101
SlotMachine_041,eTGs,Stadium,Obj_1020,Slots,05F1,05F102
SlotMachine_042,eTGs,Stadium,Obj_1022,Slots,05F1,05F103
SlotMachine_043,eTGs,Stadium,Obj_1024,Slots,05F1,05F104
SlotMachine_044,eTGs,Stadium,Obj_1026,Slots,05F1,05F105
SlotMachine_045,eTGs,Stadium,Obj_1028,Slots,05F1,05F106
SlotMachine_046,eTGs,Stadium,Obj_1031,Slots,05F1,05F107
SlotMachine_047,eTGs,Stadium,Obj_1033,Slots,05F1,05F108
SlotMachine_048,eTGs,Stadium,Obj_1035,Slots,05F1,05F109
SlotMachine_049,eTGs,Stadium,Obj_1037,Slots,05F1,05F110
SlotMachine_050,eTGs,Stadium,Obj_1039,Slots,05F1,05F111
SlotMachine_051,eTGs,Stadium,Obj_1042,Slots,05F1,05F112
SlotMachine_052,eTGs,Stadium,Obj_1044,Slots,05F1,05F113
SlotMachine_053,eTGs,Stadium,Obj_1046,Slots,05F1,05F114
SlotMachine_054,eTGs,Stage,Obj_726,Slots,03F5,03F501
SlotMachine_055,eTGs,Stage,Obj_728,Slots,03F5,03F502
SlotMachine_056,eTGs,Stage,Obj_730,Slots,03F5,03F503
SlotMachine_057,eTGs,Stage,Obj_733,Slots,03F5,03F504
SlotMachine_058,eTGs,Stage,Obj_735,Slots,03F5,03F505
SlotMachine_059,eTGs,Stage,Obj_770,Slots,03F5,03F506
SlotMachine_060,eTGs,Stage,Obj_772,Slots,03F5,03F507
SlotMachine_061,eTGs,Stage,Obj_774,Slots,03F5,03F508
SlotMachine_062,eTGs,Stage,Obj_777,Slots,03F5,03F509
SlotMachine_063,eTGs,Stage,Obj_779,Slots,03F5,03F510
SlotMachine_064,eTGs,Stage,Obj_801,Slots,03F5,03F511
SlotMachine_065,eTGs,Stage,Obj_803,Slots,03F5,03F512
SlotMachine_066,eTGs,Stage,Obj_805,Slots,03F5,03F513
SlotMachine_067,eTGs,Stage,Obj_717,Slots,03F5,03F514
SlotMachine_068,eTGs,Stage,Obj_719,Slots,03F5,03F515
SlotMachine_069,eTGs,Stage,Obj_722,Slots,03F5,03F516
SlotMachine_070,eTGs,Stage,Obj_724,Slots,03F5,03F517
SlotMachine_071,eTGs,Stage,Obj_759,Slots,03F5,03F518
SlotMachine_072,eTGs,Stage,Obj_761,Slots,03F5,03F519
SlotMachine_073,eTGs,Stage,Obj_763,Slots,03F5,03F520
SlotMachine_074,eTGs,Stage,Obj_766,Slots,03F5,03F521
SlotMachine_075,eTGs,Stage,Obj_768,Slots,03F5,03F522
SlotMachine_076,eTGs,Stage,Obj_794,Slots,03F5,03F523
SlotMachine_077,eTGs,Stage,Obj_796,Slots,03F5,03F524
SlotMachine_078,eTGs,Stage,Obj_799,Slots,03F5,03F525
SlotMachine_079,eTGs,Stage,Obj_715,Slots,03F5,03F526
SlotMachine_080,eTGs,Stage,Obj_704,Slots,03F5,03F527
SlotMachine_081,eTGs,Stage,Obj_706,Slots,03F5,03F528
SlotMachine_082,eTGs,Stage,Obj_708,Slots,03F5,03F529
SlotMachine_083,eTGs,Stage,Obj_711,Slots,03F5,03F530
SlotMachine_084,eTGs,Stage,Obj_713,Slots,03F5,03F531
SlotMachine_085,eTGs,Stage,Obj_748,Slots,03F5,03F532
SlotMachine_086,eTGs,Stage,Obj_750,Slots,03F5,03F533
SlotMachine_087,eTGs,Stage,Obj_752,Slots,03F5,03F534
SlotMachine_088,eTGs,Stage,Obj_755,Slots,03F5,03F535
SlotMachine_089,eTGs,Stage,Obj_757,Slots,03F5,03F536
SlotMachine_090,eTGs,Stage,Obj_788,Slots,03F5,03F537
SlotMachine_091,eTGs,Stage,Obj_790,Slots,03F5,03F538
SlotMachine_092,eTGs,Stage,Obj_792,Slots,03F5,03F539
SlotMachine_093,eTGs,Stage,Obj_693,Slots,03F5,03F540
SlotMachine_094,eTGs,Stage,Obj_695,Slots,03F5,03F541
SlotMachine_095,eTGs,Stage,Obj_697,Slots,03F5,03F542
SlotMachine_096,eTGs,Stage,Obj_700,Slots,03F5,03F543
SlotMachine_097,eTGs,Stage,Obj_702,Slots,03F5,03F544
SlotMachine_098,eTGs,Stage,Obj_737,Slots,03F5,03F545
SlotMachine_099,eTGs,Stage,Obj_739,Slots,03F5,03F546
SlotMachine_100,eTGs,Stage,Obj_741,Slots,03F5,03F547
SlotMachine_101,eTGs,Stage,Obj_744,Slots,03F5,03F548
SlotMachine_102,eTGs,Stage,Obj_746,Slots,03F5,03F549
SlotMachine_103,eTGs,Stage,Obj_781,Slots,03F5,03F550
SlotMachine_104,eTGs,Stage,Obj_783,Slots,03F5,03F551
SlotMachine_105,eTGs,Stage,Obj_785,Slots,03F5,03F552
SlotMachine_106,eTGs,Stage,Obj_807,Slots,03F5,03F553
SlotMachine_107,eTGs,Stage,Obj_810,Slots,03F5,03F554
SlotMachine_108,eTGs,Stage,Obj_812,Slots,03F5,03F555
SlotMachine_109,eTGs,Stage,Obj_814,Slots,03F5,03F556
SlotMachine_110,eTGs,Stage,Obj_818,Slots,03F5,03F557
SlotMachine_111,eTGs,Stage,Obj_821,Slots,03F5,03F558
SlotMachine_112,Classic,Zone A,Obj_1905,Slots,EE95,EE9501
SlotMachine_113,Classic,Zone A,Obj_1906,Slots,EE95,EE9502
SlotMachine_114,Classic,Zone A,Obj_1909,Slots,EE95,EE9503
SlotMachine_115,Classic,Zone A,Obj_1910,Slots,EE95,EE9504
SlotMachine_116,Classic,Zone A,Obj_1921,Slots,EE95,EE9505
SlotMachine_117,Classic,Zone A,Obj_1925,Slots,EE94,EE9401
SlotMachine_118,Classic,Zone A,Obj_1926,Slots,EE94,EE9402
SlotMachine_119,Classic,Zone A,Obj_1929,Slots,EE94,EE9403
SlotMachine_120,Classic,Zone A,Obj_1930,Slots,EE94,EE9404
SlotMachine_121,Classic,Zone A,Obj_1941,Slots,EE94,EE9405
SlotMachine_122,Classic,Zone A,Obj_1945,Slots,EE92,EE9201
SlotMachine_123,Classic,Zone A,Obj_1946,Slots,EE92,EE9202
SlotMachine_124,Classic,Zone A,Obj_1949,Slots,EE92,EE9203
SlotMachine_125,Classic,Zone A,Obj_1950,Slots,EE92,EE9204
SlotMachine_126,Classic,Zone A,Obj_1961,Slots,EE92,EE9205
SlotMachine_127,Classic,Zone A,Obj_1965,Slots,EE90,EE9001
SlotMachine_128,Classic,Zone A,Obj_1966,Slots,EE90,EE9002
SlotMachine_129,Classic,Zone A,Obj_1969,Slots,EE90,EE9003
SlotMachine_130,Classic,Zone A,Obj_1970,Slots,EE90,EE9004
SlotMachine_131,Classic,Zone A,Obj_1981,Slots,EE90,EE9005
SlotMachine_132,Classic,Zone A,Obj_1985,Slots,EE93,EE9301
SlotMachine_133,Classic,Zone A,Obj_1986,Slots,EE93,EE9302
SlotMachine_134,Classic,Zone A,Obj_1989,Slots,EE93,EE9303
SlotMachine_135,Classic,Zone A,Obj_1990,Slots,EE93,EE9304
SlotMachine_136,Classic,Zone A,Obj_2001,Slots,EE93,EE9305
SlotMachine_137,Classic,Zone A,Obj_2005,Slots,EE91,EE9101
SlotMachine_138,Classic,Zone A,Obj_2006,Slots,EE91,EE9102
SlotMachine_139,Classic,Zone A,Obj_2009,Slots,EE91,EE9103
SlotMachine_140,Classic,Zone A,Obj_2010,Slots,EE91,EE9104
SlotMachine_141,Classic,Zone A,Obj_2021,Slots,EE91,EE9105
SlotMachine_142,Classic,Zone A,Obj_1913,Slots,EE95,EE9506
SlotMachine_143,Classic,Zone A,Obj_1914,Slots,EE95,EE9507
SlotMachine_144,Classic,Zone A,Obj_1917,Slots,EE95,EE9508
SlotMachine_145,Classic,Zone A,Obj_1918,Slots,EE95,EE9509
SlotMachine_146,Classic,Zone A,Obj_1923,Slots,EE95,EE9510
SlotMachine_147,Classic,Zone A,Obj_1933,Slots,EE94,EE9406
SlotMachine_148,Classic,Zone A,Obj_1934,Slots,EE94,EE9407
SlotMachine_149,Classic,Zone A,Obj_1937,Slots,EE94,EE9408
SlotMachine_150,Classic,Zone A,Obj_1938,Slots,EE94,EE9409
SlotMachine_151,Classic,Zone A,Obj_1943,Slots,EE94,EE9410
SlotMachine_152,Classic,Zone A,Obj_1953,Slots,EE92,EE9206
SlotMachine_153,Classic,Zone A,Obj_1954,Slots,EE92,EE9207
SlotMachine_154,Classic,Zone A,Obj_1957,Slots,EE92,EE9208
SlotMachine_155,Classic,Zone A,Obj_1958,Slots,EE92,EE9209
SlotMachine_156,Classic,Zone A,Obj_1963,Slots,EE92,EE9210
SlotMachine_157,Classic,Zone A,Obj_1973,Slots,EE90,EE9006
SlotMachine_158,Classic,Zone A,Obj_1974,Slots,EE90,EE9007
SlotMachine_159,Classic,Zone A,Obj_1977,Slots,EE90,EE9008
SlotMachine_160,Classic,Zone A,Obj_1978,Slots,EE90,EE9009
SlotMachine_161,Classic,Zone A,Obj_1983,Slots,EE90,EE9010
SlotMachine_162,Classic,Zone A,Obj_1993,Slots,EE93,EE9306
SlotMachine_163,Classic,Zone A,Obj_1994,Slots,EE93,EE9307
SlotMachine_164,Classic,Zone A,Obj_1997,Slots,EE93,EE9308
SlotMachine_165,Classic,Zone A,Obj_1998,Slots,EE93,EE9309
SlotMachine_166,Classic,Zone A,Obj_2003,Slots,EE93,EE9310
SlotMachine_167,Classic,Zone A,Obj_2013,Slots,EE91,EE9106
SlotMachine_168,Classic,Zone A,Obj_2014,Slots,EE91,EE9107
SlotMachine_169,Classic,Zone A,Obj_2017,Slots,EE91,EE9108
SlotMachine_170,Classic,Zone A,Obj_2018,Slots,EE91,EE9109
SlotMachine_171,Classic,Zone A,Obj_2023,Slots,EE91,EE9110
SlotMachine_172,Round Banks,Zone A,Obj_972,Slots,EE80,EE8001
SlotMachine_173,Round Banks,Zone A,Obj_975,Slots,EE80,EE8002
SlotMachine_174,Round Banks,Zone A,Obj_977,Slots,EE80,EE8003
SlotMachine_175,Round Banks,Zone A,Obj_979,Slots,EE80,EE8004
SlotMachine_176,Round Banks,Zone A,Obj_981,Slots,EE80,EE8005
SlotMachine_177,Round Banks,Zone A,Obj_984,Slots,EE81,EE8101
SlotMachine_178,Round Banks,Zone A,Obj_987,Slots,EE81,EE8102
SlotMachine_179,Round Banks,Zone A,Obj_989,Slots,EE81,EE8103
SlotMachine_180,Round Banks,Zone A,Obj_991,Slots,EE81,EE8104
SlotMachine_181,Round Banks,Zone A,Obj_993,Slots,EE81,EE8105
SlotMachine_182,Round Banks,Zone A,Obj_681,Slots,EE84,EE8401
SlotMachine_183,Round Banks,Zone A,Obj_683,Slots,EE84,EE8402
SlotMachine_184,Round Banks,Zone A,Obj_685,Slots,EE84,EE8403
SlotMachine_185,Round Banks,Zone A,Obj_687,Slots,EE84,EE8404
SlotMachine_186,Round Banks,Zone A,Obj_690,Slots,EE84,EE8405
SlotMachine_187,Round Banks,Zone A,Obj_692,Slots,EE84,EE8406
SlotMachine_188,Round Banks,Zone A,Obj_913,Slots,EE82,EE8201
SlotMachine_189,Round Banks,Zone A,Obj_915,Slots,EE82,EE8202
SlotMachine_190,Round Banks,Zone A,Obj_917,Slots,EE82,EE8203
SlotMachine_191,Round Banks,Zone A,Obj_920,Slots,EE82,EE8204
SlotMachine_192,Round Banks,Zone A,Obj_923,Slots,EE83,EE8301
SlotMachine_193,Round Banks,Zone A,Obj_925,Slots,EE83,EE8302
SlotMachine_194,Round Banks,Zone A,Obj_927,Slots,EE83,EE8303
SlotMachine_195,Round Banks,Zone A,Obj_929,Slots,EE83,EE8304
SlotMachine_196,Round Banks,Zone A,Obj_933,Slots,EE85,EE8501
SlotMachine_197,Round Banks,Zone A,Obj_935,Slots,EE85,EE8502
SlotMachine_198,Round Banks,Zone A,Obj_937,Slots,EE85,EE8503
SlotMachine_199,Round Banks,Zone A,Obj_939,Slots,EE85,EE8504
SlotMachine_200,Round Banks,Zone A,Obj_997,Slots,EE87,EE8701
SlotMachine_201,Round Banks,Zone A,Obj_999,Slots,EE87,EE8702
SlotMachine_202,Round Banks,Zone A,Obj_1001,Slots,EE87,EE8703
SlotMachine_203,Round Banks,Zone A,Obj_1003,Slots,EE87,EE8704
SlotMachine_204,Round Banks,Zone A,Obj_1005,Slots,EE87,EE8705
SlotMachine_205,Classic,Zone B,Obj_103,Slots,EE22,EE2201
SlotMachine_206,Classic,Zone B,Obj_302,Slots,EE22,EE2202
SlotMachine_207,Classic,Zone B,Obj_105,Slots,EE22,EE2203
SlotMachine_208,Classic,Zone B,Obj_305,Slots,EE22,EE2204
SlotMachine_209,Classic,Zone B,Obj_2025,Slots,EE24,EE2401
